country,code,region_code,region,admin_region_code,admin_region,income_level_code,income_level,lending_type_code,lending_type
"Hong Kong SAR, China",HKG,EAS,East Asia & Pacific,,,HIC,High income,LNX,Not classified
Honduras,HND,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),LMC,Lower middle income,IDX,IDA
Croatia,HRV,ECS,Europe & Central Asia,,,HIC,High income,IBD,IBRD
Haiti,HTI,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),LMC,Lower middle income,IDX,IDA
Hungary,HUN,ECS,Europe & Central Asia,,,HIC,High income,LNX,Not classified
Indonesia,IDN,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),LMC,Lower middle income,IBD,IBRD
Isle of Man,IMN,ECS,Europe & Central Asia,,,HIC,High income,LNX,Not classified
India,IND,SAS,South Asia,SAS,South Asia,LMC,Lower middle income,IBD,IBRD
Ireland,IRL,ECS,Europe & Central Asia,,,HIC,High income,LNX,Not classified
"Iran, Islamic Rep.",IRN,MEA,Middle East & North Africa,MNA,Middle East & North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD
Iraq,IRQ,MEA,Middle East & North Africa,MNA,Middle East & North Africa (excluding high income),UMC,Upper middle income,IBD,IBRD
Iceland,ISL,ECS,Europe & Central Asia,,,HIC,High income,LNX,Not classified
Israel,ISR,MEA,Middle East & North Africa,,,HIC,High income,LNX,Not classified
Italy,ITA,ECS,Europe & Central Asia,,,HIC,High income,LNX,Not classified
Jamaica,JAM,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD
Jordan,JOR,MEA,Middle East & North Africa,MNA,Middle East & North Africa (excluding high income),UMC,Upper middle income,IBD,IBRD
Japan,JPN,EAS,East Asia & Pacific,,,HIC,High income,LNX,Not classified
Kazakhstan,KAZ,ECS,Europe & Central Asia,ECA,Europe & Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD
Kenya,KEN,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LMC,Lower middle income,IDB,Blend
Kyrgyz Republic,KGZ,ECS,Europe & Central Asia,ECA,Europe & Central Asia (excluding high income),LMC,Lower middle income,IDX,IDA
